PID         USER              FD       TYPE      DEVICE                  SIZE/OFF   NODE     NAME
1           root              7u       IPv6      0x5641ac5e6c4ab264      0t0        TCP      *:ssh (LISTEN)
1           root              8u       IPv4      0x6e63e0d1895c9a66      0t0        TCP      *:ssh (LISTEN)
1           root              11u      IPv6      0x5641ac5e6c4ab264      0t0        TCP      *:ssh (LISTEN)
1           root              12u      IPv4      0x6e63e0d1895c9a66      0t0        TCP      *:ssh (LISTEN)
1           root              15u      IPv6      0x4784a3a37777e570      0t0        TCP      *:rfb (LISTEN)
1           root              16u      IPv4      0xb5652ec75a45e64a      0t0        TCP      *:rfb (LISTEN)
1           root              19u      IPv6      0x4784a3a37777e570      0t0        TCP      *:rfb (LISTEN)
1           root              20u      IPv4      0xb5652ec75a45e64a      0t0        TCP      *:rfb (LISTEN)
1           root              39u      IPv4      0xcb1e859d351a9728      0t0        UDP      *:netbios-dgm
1           root              40u      IPv4      0x52f2eca396456452      0t0        UDP      *:netbios-ns
382         root              32u      IPv6      0xbd16b55abb9cf817      0t0        ICMPV6   *:*
413         root              10u      IPv4      0xeeff32cc1ff9d860      0t0        TCP      10.75.34.13:50503->17.57.144.135:5223 (ESTABLISHED)
454         root              3u       IPv4      0x1b0cde5688a79b2b      0t0        UDP      *:*
454         root              5u       IPv4      0x69fce61dac264a9d      0t0        UDP      *:*
454         root              10u      IPv6      0x97d4dd8c2eba322e      0t0        UDP      *:*
454         root              11u      IPv4      0xd48adb23f0ee672a      0t0        UDP      *:*
454         root              12u      IPv4      0xd4d729dbc8359697      0t0        UDP      *:*
454         root              14u      IPv4      0xc3201308af1906fb      0t0        UDP      *:*
454         root              17u      IPv4      0x9238945000f2a0a1      0t0        UDP      *:*
454         root              19u      IPv4      0x45d66aff219c2f06      0t0        UDP      *:*
454         root              20u      IPv4      0xf79fba261b01cbbe      0t0        UDP      *:*
454         root              21u      IPv4      0x11dda9441ecf9dd0      0t0        UDP      *:*
454         root              24u      IPv4      0xcaf3e3dc78a6cd13      0t0        UDP      *:*
454         root              25u      IPv4      0x26774b4ec72c790f      0t0        UDP      *:*
457         _mdnsresponder    6u       IPv4      0xfbe20fbe98a66c68      0t0        UDP      *:mdns
457         _mdnsresponder    7u       IPv6      0xdb255e7ca1c14642      0t0        UDP      *:mdns
494         _networkd         29u      IPv4      0xec2b75c6e01af7d3      0t0        UDP      *:*
577         root              4u       IPv4      0x477cf32f81ea6a76      0t0        UDP      *:*
577         root              6u       IPv4      0x806258876d95658       0t0        UDP      *:*
577         root              9u       IPv4      0xf0eab098a9f2dada      0t0        UDP      *:*
582         root              3u       IPv4      0xf67df478e9c7ffe7      0t0        UDP      *:*
637         root              5u       IPv4      0x3fd53851a7b7ba94      0t0        TCP      localhost:29754 (LISTEN)
637         root              46u      IPv4      0xb00978d311d89520      0t0        TCP      localhost:29754->localhost:61773 (ESTABLISHED)
637         root              75u      IPv4      0x1821d269def1a0d0      0t0        TCP      localhost:49154 (LISTEN)
661         root              4u       IPv4      0x5a72225682a9bace      0t0        UDP      *:*
661         root              6u       IPv4      0x1010bbb537fb21ab      0t0        UDP      *:*
661         root              7u       IPv4      0x4996f93ff0fe5d46      0t0        UDP      *:*
661         root              8u       IPv4      0x62201cb2714dd49a      0t0        UDP      *:*
661         root              9u       IPv6      0xd63fb358ceb9546c      0t0        UDP      *:*
662         root              4u       IPv6      0xf51691dacb051a7       0t0        UDP      *:kerberos
662         root              5u       IPv6      0x27d3a634523344f8      0t0        TCP      *:kerberos (LISTEN)
662         root              6u       IPv4      0x6224ca16eeb713ad      0t0        UDP      *:kerberos
662         root              7u       IPv4      0x9b11571e5a3476d6      0t0        TCP      *:kerberos (LISTEN)
664         root              15u      IPv4      0x336aa81caa524e66      0t0        TCP      10.75.34.13:49252->ec2-54-183-140-32.us-west-1.compute.amazonaws.com:https (ESTABLISHED)
1196        backupsys         21u      IPv4      0x6763fe88b909767e      0t0        UDP      *:*
1196        backupsys         26u      IPv4      0xbe9e1c18b71f33d7      0t0        UDP      *:*
1296        backupsys         4u       IPv4      0xf883e215997edc31      0t0        UDP      *:*
1657        backupsys         8u       IPv6      0x132e93b398ba3b75      0t0        UDP      *:51027
2282        backupsys         10u      IPv4      0xfbf18303df3f73d8      0t0        TCP      10.75.34.13:57840->17.248.203.64:https (CLOSED)
2316        backupsys         9u       IPv4      0xf38312dd0eef8ff1      0t0        TCP      10.75.34.13:50982->ussea4-vip-fx-103.a.aaplimg.com:https (CLOSED)
2434        backupsys         23u      IPv4      0xf349a8455ea8f09b      0t0        TCP      localhost:61773->localhost:29754 (ESTABLISHED)
2587        backupsys         18u      IPv4      0x2cb506b87065bf5e      0t0        TCP      10.75.34.13:58066->ec2-52-14-14-157.us-east-2.compute.amazonaws.com:https (ESTABLISHED)
2587        backupsys         24u      IPv4      0x71b0034224dd8372      0t0        TCP      10.75.34.13:49199->ec2-3-20-1-85.us-east-2.compute.amazonaws.com:https (ESTABLISHED)
2587        backupsys         25u      IPv4      0x6793a034cbc64280      0t0        TCP      10.75.34.13:49195->ec2-3-20-1-85.us-east-2.compute.amazonaws.com:https (ESTABLISHED)
2587        backupsys         26u      IPv4      0x7e67deac3de6c54d      0t0        TCP      10.75.34.13:58077->ec2-3-130-95-182.us-east-2.compute.amazonaws.com:https (ESTABLISHED)
4560        backupsys         21u      IPv4      0xf86dcd24fec47a3       0t0        TCP      10.75.34.13:65498->qj-in-f188.1e100.net:5228 (ESTABLISHED)
4560        backupsys         26u      IPv4      0x5c21e185ec7198ce      0t0        TCP      10.75.34.13:65493->qj-in-f188.1e100.net:5228 (ESTABLISHED)
4560        backupsys         27u      IPv4      0x302030e0deeb44b4      0t0        TCP      10.75.34.13:57002->45.55.122.20:https (ESTABLISHED)
4560        backupsys         28u      IPv4      0xbe3925f138b43260      0t0        TCP      10.75.34.13:57883->ec2-3-233-158-26.compute-1.amazonaws.com:https (ESTABLISHED)
4560        backupsys         29u      IPv4      0xfd9c0b6158ef4fdd      0t0        TCP      10.75.34.13:57159->ord38s28-in-f4.1e100.net:https (ESTABLISHED)
4560        backupsys         33u      IPv4      0x66c53df109e91145      0t0        TCP      10.75.34.13:57173->ord38s33-in-f10.1e100.net:https (ESTABLISHED)
4560        backupsys         34u      IPv4      0x7298bd47d18c8c48      0t0        TCP      10.75.34.13:57181->ord38s33-in-f10.1e100.net:https (ESTABLISHED)
4560        backupsys         35u      IPv4      0x869f05677463b767      0t0        TCP      10.75.34.13:57160->ord38s28-in-f4.1e100.net:https (ESTABLISHED)
4560        backupsys         36u      IPv4      0x3a8a73749bcbc3fa      0t0        TCP      10.75.34.13:57175->ord38s33-in-f10.1e100.net:https (ESTABLISHED)
4560        backupsys         37u      IPv4      0x9ab6b53db053142e      0t0        TCP      10.75.34.13:57165->ord38s30-in-f10.1e100.net:https (ESTABLISHED)
4560        backupsys         38u      IPv4      0x45985bc67ec69412      0t0        TCP      10.75.34.13:57177->ord38s30-in-f1.1e100.net:https (ESTABLISHED)
4560        backupsys         41u      IPv4      0xf4fa242bc5f1d39       0t0        TCP      10.75.34.13:57230->172.217.2.46:https (ESTABLISHED)
4560        backupsys         46u      IPv4      0xad68c9bc60d8274c      0t0        TCP      10.75.34.13:57196->ord38s30-in-f1.1e100.net:https (ESTABLISHED)
4560        backupsys         47u      IPv4      0xa362594580b87ed6      0t0        TCP      10.75.34.13:57485->ord38s32-in-f3.1e100.net:https (ESTABLISHED)
4560        backupsys         49u      IPv4      0x30bf4e7861603c28      0t0        TCP      10.75.34.13:57507->172.64.155.209:https (ESTABLISHED)
4560        backupsys         51u      IPv4      0x58556172ea6975cc      0t0        TCP      10.75.34.13:57354->ord37s35-in-f22.1e100.net:https (ESTABLISHED)
4560        backupsys         54u      IPv4      0xb3aa47f61b816ffd      0t0        TCP      10.75.34.13:57486->172.217.5.10:https (ESTABLISHED)
4560        backupsys         56u      IPv4      0x100b46686f24e4af      0t0        TCP      10.75.34.13:57218->ord38s33-in-f10.1e100.net:https (ESTABLISHED)
4560        backupsys         63u      IPv4      0x10e3d575af235219      0t0        TCP      10.75.34.13:57838->ord38s30-in-f10.1e100.net:https (ESTABLISHED)
4560        backupsys         64u      IPv4      0x47388a751de00fbb      0t0        TCP      10.75.34.13:55159->104.18.35.23:https (ESTABLISHED)
4560        backupsys         104u     IPv4      0x8c5a89807d1e86cd      0t0        UDP      *:mdns
4560        backupsys         107u     IPv6      0x48b600c6889a5b38      0t0        UDP      *:mdns
4560        backupsys         112u     IPv6      0x2bc3e3ec87964ea5      0t0        UDP      *:mdns
4560        backupsys         113u     IPv6      0xcb9dbb4fb17eb0a5      0t0        UDP      *:mdns
4560        backupsys         114u     IPv6      0x9c936965d6858433      0t0        UDP      *:mdns
4560        backupsys         115u     IPv6      0xb7cdc3864dc70e24      0t0        UDP      *:mdns
4560        backupsys         116u     IPv6      0x47448890995c8170      0t0        UDP      *:mdns
4560        backupsys         117u     IPv4      0x342c6e450b66e667      0t0        UDP      *:mdns
4560        backupsys         118u     IPv4      0xb3a636a41d7b917b      0t0        UDP      *:mdns
4560        backupsys         119u     IPv6      0x91712afc30c40ba7      0t0        UDP      *:mdns
